Topics,Year,Start date,End date,Location,Category type,Category,Form,N part,N Female,1,2,3,4,5,6,NA,"total
Sampling Techniques with Applications,2023,09/04/2023,09/08/2023,Ulaanbaatar,Country,Country,F,15,9,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Disaster related statistics framework (DRSF) in Russian language ,2023,9/25/2023,10/08/2023,-,E-learn,Envi,EL,25,18,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Regional Course on Consumer Price Index,2023,9/25/2023,9/29/2023,Chiba,Regional,NA,F,15,5,0,0,0,0,1,11,,12,100%,0,0,0,0,2,10,,12,100%,,,,
Webinar Series on Selected Topics on Management Aspects of Capacity Building ,2023,9/27/2023,9/28/2023,-,Webinar,management,W,52,33,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
System of Environmental Economic Accounting – Ecosystem Accounting (SEEA-EA),2023,10/02/2023,11/17/2023,-,E-learn,Envi,EL,209,126,2,1,5,24,70,107,,209,85%,0,3,4,30,88,84,,209,82%,,,,
Compiling climate change indicators: an accounting approach in Russian language ,2023,10/09/2023,10/22/2023,-,E-learn,Envi,EL,42,32,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Subregional Training on Monitoring the lack of Financial Protection in health (SDG 3.8.2 and related indicators) ,2023,10/23/2023,10/26/2023,Chiba,Subregional,POS,F,8,5,0,0,0,0,1,7,,8,100%,0,0,0,0,2,6,,8,100%,,,,
Subregional Training on Gender Statistics for SDG Monitoring,2023,10/30/2023,11/03/2023,Daejeon,Subregional,POS,F,21,14,0,0,0,2,10,9,,21,90%,0,0,0,4,8,9,,21,81%,,,,
Workshop on the SEEA Central Framework,2023,10/30/2023,11/03/2023,Bhutan,Country,Envi,F,16,7,0,0,0,0,10,6,,16,100%,0,0,0,0,12,4,,16,100%,,,,
Compiling National Metadata for the Sustainable Development Goals in Russian language,2023,11/06/2023,11/24/2023,-,E-learn,methodology,EL,39,34,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
"Regional Course on Statistics on Informality: Definitions, Measurement, SDGs and Other Policy Indicators",2023,11/13/2023,11/17/2023,Chiba,Regional,NA,F,23,10,1,0,0,0,7,15,,23,96%,2,0,0,0,7,14,,23,91%,,,,
Theory and Practices in Offical Statistics for Monitoring Sustainable Development Goals (SDGs),2023,8/21/2023,12/01/2023,"Chiba, Japan",JICA,FOS,F,10,3,,,,,,,,,,,,,,,,,,,,,,
"Statistical Data and Metadata eXchange, SDMX",2023,11/15/2023,12/15/2023,-,E-learn,methodology,EL,66,25,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
National Strategy for the Development of Statistics (NSDS) and Advanced Data Planning Tool (ADAPT) ,2023,11/21/2023,11/23/2023,-,Webinar,management,W,17,10,0,0,0,1,6,5,,12,92%,0,0,0,3,7,2,,12,75%,,,,
Foundational Course on Statistical Business Registers in Russian language ,2023,11/27/2023,12/15/2023,-,E-learn,NA,EL,24,15,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
Training of Trainers on Quality of Statistics for SDGs,2023,12/11/2023,12/13/2023,Perak,Regional,management,F,43,27,1,0,0,6,15,11,,33,79%,0,1,0,7,14,11,,33,76%,,,,
Management Seminar for the Heads of National Statistical Offices in Asia and the Pacific,2023,12/14/2023,12/15/2023,Kuala Lumpur,Regional,management,F,69,28,0,0,0,1,16,39,,56,98%,0,0,0,1,18,37,,56,98%,,,,
Machine Learning for Official Statistics and SDG Indicators,2024,11/27/2023,1/19/2024,-,E-learn,methodology,EL,207,129,1,2,2,41,115,48,,209,78%,0,2,17,64,95,31,,209,60%,,,,
Webinar on Macroeconomic Statistics Framework,2024,1/23/2024,1/25/2024,-,Webinar,NA,W,187,112,1,,,4,45,37,,87,94%,2,,,16,44,25,,87,79%,,,,
Compilation of Energy and Air Emission Accounts,2024,02/05/2024,2/15/2024,Chiba,Regional,Envi,F,26,12,0,1,0,0,5,20,,26,96%,0,1,0,3,2,20,,26,85%,,,,
Webinar on the Management of Statistics Capacity Building in the Pacific,2024,2/21/2024,2/21/2024,-,Webinar,management,W,42,26,,,,,,,,0,#DIV/0!,,,,,,,,0,#DIV/0!,,,,
" Webinar on Measuring Digital Trade, 6 March 2024",2024,03/06/2024,03/06/2024,-,Webinar,NA,W,153,77,,,,,,,,,,,,,,,,,,,,,,
Regional Course on Statistical Business Registers,2024,03/11/2024,3/14/2024,Chiba,Regional,NA,F,19,9,0,0,1,0,2,16,,19,95%,0,0,1,0,4,14,,19,95%,,,,
Regional E-learning course on SEEA Central Framework ,2024,03/04/2024,04/02/2024,-,E-learn,Envi,EL,216,132,6,0,1,22,80,108,,217,87%,4,1,1,25,98,88,,217,86%,,,,
"The International Recommendations on Refugee, IDP and Statelessness Statistics",2024,04/01/2024,06/07/2024,-,E-learn,POS,EL,252,124,0,3,7,22,83,138,,253,87%,0,1,4,42,108,97,,252,81%,,,,
Machine Learning and GIS for Land Cover Estimation,2024,4/15/2024,4/26/2024,Port Vila,Country,methodology,F ,32,12,0,0,0,4,10,6,,20,80%,0,0,0,3,10,7,,20,85%,,,,
Principles of Reproducible Analytical Pipelines for Official Statistics:,2024,05/06/2024,5/31/2024,-,E-learn,methodology,EL,126,76,6,0,0,13,55,52,,126,85%,6,0,1,25,50,44,,126,75%,,,,
Bangladesh National training on Natural Resource Accounts (Land and Forest)   ,2024,5/22/2024,5/24/2024,Dhaka,Country,Envi,F ,34,10,2,,,4,18,16,,40,85%,2,,,1,16,21,,40,93%,,,,
North Pacific Sub-Regional Training Workshop on Climate Change Statistics and Indicators ,2024,6/17/2024,6/21/2024,Guam,Subregional,Envi,F ,12,3,1,,,,8,7,,16,94%,1,,,,5,10,,16,94%,,,,
Sub-Regional Training Workshop on Climate Change Statistics and Indicators,2024,06/03/2024,06/07/2024,Port Vila,Subregional,Envi,F ,23,13,,,,,,,,,,,,,,,,,,,,,,
GIS and Machine Learning for Land Cover Estimation,2024,07/08/2024,07/12/2024,Port Vila,Country,methodology,F ,17,6,0,0,0,3,4,3,,10,70%,0,0,0,3,10,7,,20,85%,,,,
Web Scrapping for CPI,2024,9/16/2024,9/20/2024,Bangkok,Regional,methodology,F,25,8,,,,2,12,5,,19,89%,0,0,0,2,12,5,,19,89%,,,,
Increasing User Engagement Around Data and Statistics,2024,08/12/2024,10/18/2024,--,E-learn,methodology,EL,701,431,48,5,7,27,205,413,,705,88%,37,5,11,45,234,374,,706,86%,,,,
Regional Training on Crime Statistics from a Gender Perspective,2024,09/03/2024,09/06/2024,Chiba,Regional,POS,F,20,11,,,,,,,,,,,,,,,,,,,,,,
Statistical Leadership for Heads of National Statistical Offices,2024,09/04/2024,09/06/2024,Ulaanbaatar,Regional,management,F ,18,7,1,,,,,14,,15,93%,,,,,3,12,,15,100%,,,,
Sub-Regional Workshop on an Accounting Approach to Climate Change and Biodiversity,2024,09/09/2024,09/12/2024,Kyrgyz,Subregional,Envi,F ,32,18,,,,,,,,,,,,,,,,,,,,,,
Quality of Statistics for SDGs,2024,9/23/2024,9/25/2024,Ulaanbaatar,Regional,management,F ,31,17,,,,,8,9,,17,100%,,,,1,8,8,,17,94%,,,,
Consumer Prce Index for the Pacific,2024,9/30/2024,10/04/2024,Nadi,Subregional,NA,F ,19,11,1,,,,,17,,18,94%,1,,,,7,10,,18,94%,,,,
Webinar on Enhancing Collaboration between NSO and Disaster Management for Smarter Disaster and Climate Resilience,2024,10/08/2024,10/08/2024,-,Webinar,Envi,W,149,88,,,,,,,,,,,,,,,,,,,,,,
Regional Training of Trainers on the Gender Statistics Training Curriculum for Monitoring the Sustainable Development Goals,2024,10/14/2024,10/17/2024,Seoul,Regional,POS,F,14,11,,,,,,,,,,,,,,,,,,,,,,
"Statistics on Informality: Definition, Measurement, SDGs and other policy indicators",2024,10/15/2024,10/18/2024,Chiba,Regional,NA,F,24,13,2,,,,7,11,,20,90%,1,,,2,9,8,,20,85%,,,,
Big Data: Innovative Methods and Applications for Achieving SDGs,2024,10/21/2024,10/25/2024,Chiba,Regional,methodology,F ,12,4,1,,,1,6,4,,12,83%,,1,,5,3,3,,12,50%,,,,
Compiling Climate Change Indicators: An Accounting Approach,2024,9/30/2024,11/08/2024,--,E-learn,Envi,EL,73,42,4,0,1,8,27,34,,74,82%,2,0,0,9,37,26,,74,85%,,,,
Disability Statistics for Tracking Inclusive and Sustainable Development,2024,9/30/2024,11/08/2024,--,E-learn,POS,EL,77,46,4,0,1,6,21,47,,79,86%,4,0,0,13,33,29,,79,78%,,,,
National Training of Trainers on Gender Statistics for SDG Monitoring,2024,11/04/2024,11/08/2024,Manila,Country,POS,F,51,34,,,,,,,,,,,,,,,,,,,,,,
Computer Assisted Personal Interviewing (CAPI) using Survey Solutions for the Pacific,2024,11/18/2024,11/24/2024,Nadi,Subregional,methodology,F ,24,10,0,0,0,0,5,19,,24,100%,,,,4,9,11,,24,83%,,,,
Theory and Practice in Official Statistics for Monitoring SDGs,2024,8/19/2024,11/29/2024,Chiba,Regional,JICA,F ,9,4,0,0,0,0,3,5,,8,100%,,,,1,2,5,,8,88%,,,,
National Strategy for the Development of Statsitics (NSDS),2024,12/03/2024,12/05/2024,-,Webinar,management,W,29,18,1,0,3,6,14,5,,29,66%,1,1,1,8,14,4,,29,62%,,,,
 Solid Waste Accounting,2024,11/11/2024,12/06/2024,-,E-learn,Envi,EL,128,73,,,,,,,,,,,,,,,,,,,,,,
Management Seminar for Heads of National Statistical Offices in Asia and the Pacific,2024,12/10/2024,12/20/2024,Bangkok,Regional,management,F,85,36,,,,,,,,,,,,,,,,,,,,,,
Data Visualization for Official Statistics and the SDGs,2024,11/11/2024,12/27/2024,,E-learn,methodology,EL,98,61,2,0,2,4,42,49,,99,92%,1,1,1,11,56,29,,99,86%,1757,2152,0.816449814,
Consumer Price Index Compilation methods,2025,1/20/2025,1/24/2025,Chiba,Regional,NA,F,9,2,,,,1,1,7,,9,89%,,,1,1,4,3,,9,78%,,,,
A strategic approach to competence development: Implementing the Statistical Training needs Assessment Tool (STAT),2025,1/13/2025,1/17/2025,Greater Noida,Country,Country,F,32,9,,,,1,5,26,,32,97%,,,,3,4,25,,32,91%,,,,
Using administrative data to produce official statistics,2025,1/20/2025,2/21/2025,-,E-Learn,methodology,EL,1122,660,68,9,23,74,370,606,,1150,85%,58,9,26,128,465,464,,1150,81%,,,,
Workshop on Machine Learning for Official Statistics in Asia-Pacific countries,2025,02/03/2025,02/07/2025,Jakarta,Regional,methodology,F ,22,10,0,0,0,1,9,8,,18,94%,0,0,0,2,10,6,,18,89%,,,,
Principles of Reproducible Analytical Pipelines for Official Statistics,2025,2/17/2025,3/14/2025,-,E-Learn,official statistics,EL,245,119,4,1,3,20,80,138,,246,89%,4,3,2,29,108,100,,246,85%,,,,
National Workshop on Measuring Natural Resources ,2025,2/17/2025,2/20/2025,Greater Noida,Country,Country,F,43,6,,,,,10,33,,43,100%,,,,,6,37,,43,100%,,,,
National Training on Producing and Using Gender Statistics for Monitoring the SDGs in Bangladesh,2025,2/23/2025,2/26/2025,Dhaka,Country,Country,F,33,22,1,0,0,0,7,13,,21,95%,1,0,0,0,9,11,,21,95%,,,,
"Introductory webinar on the 2025 System of National Accounts for the Pacific,",2025,3/25/2025,3/25/2025,-,Webinar,NA,W,60,26,,,,,,,,,,,,,,,,,,,,,,
Introductory webinar on the 2025 System of National Accounts for the Asia,2025,3/27/2025,3/27/2025,-,Webinar,NA,W,182,112,,,,,,,,,,,,,,,,,,,,,,
Disaster related statistics framework,2025,03/03/2025,04/07/2025,-,E-Learn,Envi,EL,116,71,1,0,0,7,43,66,,117,93%,1,0,0,12,57,47,,117,89%,,,,
Enhancing External Debt Statistics for Greater Transparency and Sustainability ,2025,04/07/2025,04/11/2025,Chiba,Regional,NA,F,17,12,,,,1,3,11,,15,93%,,,,,8,7,,15,100%,,,,
"Webinar, Update of the SEEA Central Framework",2025,4/16/2025,4/16/2025,-,Webinar,Envi,W,81,48,,,,,,,,,,,,,,,,,,,,,,
Regional Training on Big Data and Data Science for Gender Statistics in Asia and the Pacific,2025,4/21/2025,4/25/2025,Daejeon,Regional,methodology,F,22,14,,,,,6,16,,22,100%,,,,2,9,11,,22,91%,,,,
Enhancing Statistical Leadership for heads of NSOs,2025,5/28/2025,5/30/2025,Chiba,Regional,management,F ,12,5,,,,,4,5,,9,100%,,,,2,1,6,,9,78%,,,,
System of Environmental Economic Accounting,2025,4/14/2025,5/31/2025,-,E-Learn,Envi,EL,331,177,2,1,4,32,123,172,,334,88%,2,1,5,58,167,101,,334,80%,,,,
Measuring Energy for Sustainable Development ,2025,5/13/2025,5/16/2025,Chiba,Regional,Envi,F,26,13,,,,,4,22,,26,100%,,,,,5,21,,26,100%,,,,
"Compiling Climate Change Related Statistics, Accounts and Indicators",2025,5/19/2025,5/22/2025,Fiji,Subregional,Envi,F,15,10,,,,,4,11,,15,100%,,,,1,3,11,,15,93%,,,,
SEEA Asset Accounts for Sustainable Development ,2025,6/16/2025,6/19/2025,Chiba,Regional,Envi,F,23,10,,,,,2,21,,23,100%,,,,,4,19,,23,100%,,,,
R for Official Statistics,2025,06/03/2025,06/06/2025,-,E-learn,methodology,EL,749,422,52,5,14,67,241,371,,750,82%,42,9,11,88,268,332,,750,80%,,,,
"Data Ethics, Governance, and Quality in a Changing Data Ecosystem",2025,7/14/2025,7/16/2025,New Delhi,Regional,management,F,18,3,,,,,,,,,,,,,,,,,,,,,,
"Data Ethics, Governance, and Quality in a Changing Data Ecosystem",2025,7/17/2025,7/18/2025,New Delhi,Country,Country,F,28,4,,,,,,,,,,,,,,,,,,,,,,‘
Webinar series on the 2025 System of National Accounts Implementation,2025,06/03/2025,7/22/2025,-,Webinar,NA,W,389,248,,,,,,,,,,,,,,,,,,,,,,
"Harnessing Gender Data for SDG Monitoring, Policy Making and Action",2025,7/21/2025,7/24/2025,Seoul,Regional,POS,F,25,19,1,0,0,1,4,19,,25,92%,0,0,0,0,6,19,,25,100%,,,,
Measuring Material Flows in the SDGs,2025,08/11/2025,09/05/2025,-,E-Learn,Envi,EL,390,218,7,5,6,55,122,195,,390,81%,5,0,4,49,142,190,,390,85%,,,,
E-Learning Machine Learning for Official Statistics and SDG Indicators ,2025,08/11/2025,9/26/2025,-,E-Learn,methodology,EL,600,323,46,46,28,56,173,254,,603,71%,50,40,17,56,166,274,,603,73%,,,,
Strengthening Stakeholder Capacity to Produce and Use Gender Data for Inclusive Development in Vanuatu,2025,09/01/2025,09/04/2025,Port Vila,Country,Country,F,18,9,0,0,0,0,4,14,,18,100%,0,0,0,0,3,15,,18,100%,,,,
Ecosystem Accounting in Support of the Sustainable Development Goals and Global Biodiversity Framework ,2025,09/08/2025,09/11/2025,Jakarta,Regional,Envi,F,42,24,,,,2,10,30,,42,95%,,,,3,8,31,,42,93%,3183,3908,0.814483112,<-as of Sep 30
Agriculture Statistics Capacity Building Workshop ,2025,10/06/2025,10/10/2025,Chiba,Regional,NA,F,21,8,,,,,11,10,,21,100%,,,,,5,16,,21,100%,,,,
Sub-regional Workshop on Data Visualization,2025,10/08/2025,10/10/2025,Astana,Regional,methodology,F,23,12,,,,,6,9,,15,100%,,,,1,6,8,,15,93%,,,,
Crime Statistics from a Gender Perspective 3.0,2025,8/18/2025,10/10/2025,-,E-learn,POS,EL,164,100,0,0,3,12,50,99,,164,91%,0,1,0,16,70,77,,164,90%,,,,
Subregional Workshop on International Recommendations in Preparation for the 2030 Round of Population and Housing Censuses in the Pacific ,2025,10/13/2025,10/17/2025,Nadi,Subregional,POS,F,26,17,0,0,0,0,6,20,,26,100%,0,0,0,0,10,16,,26,100%,,,,
Theory and Practice in Official Statistics for Monitoring SDGs,2025,7/28/2025,10/31/2025,Chiba,Regional,JICA,F ,17,5,0,0,0,0,7,10,,17,100%,0,0,0,2,8,7,,17,88%,,,,
Regional course on statistics on informality,2025,10/27/2025,10/31/2025,Chiba,Regional,NA,F,10,3,,,,,5,5,,10,100%,,,,,4,6,,10,100%,,,,
Regional Workshop on Disaster Related Statistics,2025,10/27/2025,10/31/2025,Daejeon,Regional,Envi,F,27,14,,,,,,,,,,,,,,,,,,,,,,
Training on Big Data and Data Science for Gender Statistics in Asia and the Pacific ,2025,10/26/2025,10/30/2025,Bangkok,Regional,methodology,F ,13,9,1,0,0,0,3,8,,12,92%,0,0,0,1,5,6,,12,92%,,,,
Introduction to concepts and methods related to the monetary valuation of ecosystem services and ecosystem assets,2025,10/06/2025,11/07/2025,-,E-learn,Envi,EL,384,214,,,,,,,,,,,,,,,,,,,,,,
Webinar Regional Training Course on the National Strategy for the Development of Statistics (NSDS),2025,11/18/2025,11/20/2025,-,Webinar,management,W,127,76,,,,6,20,26,,52,88%,,,,15,15,22,,52,71%,3464,4225,0.819881657,
Measuring the Sustainability of Tourism in Asia and the Pacific,2025,11/18/2025,11/20/2025,Brunei,Regional,Envi,F ,13,8,,,,,,,,,,,,,,,,,,,,,,
Management Seminar for Heads of NSOs,2025,12/02/2025,12/03/2025,Chiba,Regional,management,F,40,19,,,,,12,27,,39,100%,,,,,12,27,,39,100%,,,,
Inception Workshop on SEEA-Related Indicators for the Global Biodiversity Framework (GBF),2025,12/16/2025,12/19/2025,Jakarta,Country,Country,F ,70,34,,,,,,,,,,,,,,,,,,,,,,
E-learning Energy statistics and balances,2026,1/19/2026,03/06/2026,-,E-learn,Envi,EL,150,95,,,,,,,,,,,,,,,,,,,,,,
Training on Supply and Use Tables,2026,03/02/2026,03/05/2026,Kiribati,Country,Country,F,13,12,,,,,3,9,,12,100%,,,1,1,3,7,,12,83%,,,,
Increasing engagement around data and statistics- identifying and responding to user needs ,2026,2/16/2026,3/20/2026,-,E-learn,methodology,EL,645,359,37,3,16,34,154,402,,646,86%,30,2,13,31,204,366,,646,88%,,,,
"IMF – Singapore Regional Training Institute, Macro-relevant Environment and Climate Change Statistics",2026,03/02/2026,03/06/2026,Singapore,Regional,Envi,F ,28,14,,,,,,,,,,,,,,,,,,,,,,
Data Science for Official Statistics-Paro,2026,3/23/2025,3/27/2025,Paro,Country,methodology,F,29,12,0,0,0,1,10,17,,28,96%,0,0,0,4,11,13,,28,86%,,,,
Webinar on the Global Consultation on Guidance Notes for the SEEA Central Framework Update,2026,04/01/2026,04/01/2026,-,Webinar,Envi,W,89,42,,,,,,,,,,,,,,,,,,,,,,
Digitalization on the 2025 System of National Accounts,2026,3/17/2026,04/07/2026,-,Webinar,NA,W,271,172,0,0,1,1,12,4,,18,89%,0,0,0,5,12,1,,18,72%,,,,
Enhancing Statistical Leadership for Heads of NSOs,2026,05/06/2026,05/08/2026,Ankara,Regional,management,F ,13,2,,,,,3,8,,11,100%,,,,,3,8,,11,100%,,,,
